destination,build,skin_xml,atlas_symbol,atlas_rectangles,rgb_multiply,slice_top_right_bottom_left
border-3-e7d5b2.png,WIN63-202609091217-117204808,2856_habbo_skin_border_slot_xml$2931e81a58d6dbf76b1ee461e6faa1e21438669505.bin,2378_class_840.png,"{'top_left': {'x': 20, 'y': 30, 'width': 3, 'height': 3}, 'top_center': {'x': 23, 'y': 30, 'width': 1, 'height': 3}, 'top_right': {'x': 25, 'y': 30, 'width': 3, 'height': 3}, 'mid_left': {'x': 20, 'y': 33, 'width': 3, 'height': 1}, 'mid_center': {'x': 23, 'y': 33, 'width': 1, 'height': 1}, 'mid_right': {'x': 25, 'y': 33, 'width': 3, 'height': 1}, 'btm_left': {'x': 20, 'y': 35, 'width': 3, 'height': 3}, 'btm_center': {'x': 23, 'y': 35, 'width': 1, 'height': 3}, 'btm_right': {'x': 25, 'y': 35, 'width': 3, 'height': 3}}",e7d5b2,3 3 3 3
border-3-f8ebd6.png,WIN63-202609091217-117204808,2856_habbo_skin_border_slot_xml$2931e81a58d6dbf76b1ee461e6faa1e21438669505.bin,2378_class_840.png,"{'top_left': {'x': 20, 'y': 30, 'width': 3, 'height': 3}, 'top_center': {'x': 23, 'y': 30, 'width': 1, 'height': 3}, 'top_right': {'x': 25, 'y': 30, 'width': 3, 'height': 3}, 'mid_left': {'x': 20, 'y': 33, 'width': 3, 'height': 1}, 'mid_center': {'x': 23, 'y': 33, 'width': 1, 'height': 1}, 'mid_right': {'x': 25, 'y': 33, 'width': 3, 'height': 1}, 'btm_left': {'x': 20, 'y': 35, 'width': 3, 'height': 3}, 'btm_center': {'x': 23, 'y': 35, 'width': 1, 'height': 3}, 'btm_right': {'x': 25, 'y': 35, 'width': 3, 'height': 3}}",f8ebd6,3 3 3 3
border-4-efefef.png,WIN63-202609091217-117204808,2024_habbo_skin_border_4_xml$faf566e2b2e2d938446b853e5db0ec4f1302316177.bin,2378_class_840.png,"{'top_left': {'x': 0, 'y': 73, 'width': 6, 'height': 6}, 'top_center': {'x': 7, 'y': 73, 'width': 1, 'height': 6}, 'top_right': {'x': 12, 'y': 73, 'width': 6, 'height': 6}, 'mid_left': {'x': 0, 'y': 81, 'width': 6, 'height': 1}, 'mid_center': {'x': 7, 'y': 81, 'width': 1, 'height': 1}, 'mid_right': {'x': 12, 'y': 81, 'width': 6, 'height': 1}, 'btm_left': {'x': 0, 'y': 85, 'width': 6, 'height': 6}, 'btm_center': {'x': 6, 'y': 85, 'width': 1, 'height': 6}, 'btm_right': {'x': 12, 'y': 85, 'width': 6, 'height': 6}}",efefef,6 6 6 6
border-6-ffffff.png,WIN63-202609091217-117204808,2727_habbo_skin_border_6_xml$c9b7a2b7059a4e0696573b1b113048c61304105879.bin,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,"{'top_left': {'x': 80, 'y': 10, 'width': 8, 'height': 8}, 'top_center': {'x': 88, 'y': 10, 'width': 4, 'height': 8}, 'top_right': {'x': 92, 'y': 10, 'width': 8, 'height': 8}, 'mid_left': {'x': 80, 'y': 18, 'width': 8, 'height': 4}, 'mid_center': {'x': 88, 'y': 18, 'width': 4, 'height': 4}, 'mid_right': {'x': 92, 'y': 18, 'width': 8, 'height': 4}, 'btm_left': {'x': 80, 'y': 22, 'width': 8, 'height': 8}, 'btm_center': {'x': 88, 'y': 22, 'width': 4, 'height': 8}, 'btm_right': {'x': 92, 'y': 22, 'width': 8, 'height': 8}}",ffffff,8 8 8 8
border-7-41aad3.png,WIN63-202609091217-117204808,2956_habbo_skin_border_7_xml$52c6d1e9548ee21bb0a04a91a244152a1303710230.bin,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,"{'top_left': {'x': 10, 'y': 190, 'width': 6, 'height': 6}, 'top_center': {'x': 16, 'y': 190, 'width': 6, 'height': 6}, 'top_right': {'x': 29, 'y': 190, 'width': 6, 'height': 6}, 'mid_left': {'x': 10, 'y': 196, 'width': 6, 'height': 6}, 'mid_center': {'x': 16, 'y': 196, 'width': 6, 'height': 6}, 'mid_right': {'x': 29, 'y': 196, 'width': 6, 'height': 6}, 'btm_left': {'x': 10, 'y': 205, 'width': 6, 'height': 7}, 'btm_center': {'x': 16, 'y': 205, 'width': 6, 'height': 7}, 'btm_right': {'x': 29, 'y': 205, 'width': 6, 'height': 7}}",41aad3,6 6 7 6
border-10-f8ebd6.png,WIN63-202609091217-117204808,2250_class_847.bin,2378_class_840.png,"{'top_left': {'x': 20, 'y': 229, 'width': 6, 'height': 6}, 'top_center': {'x': 26, 'y': 229, 'width': 1, 'height': 6}, 'top_right': {'x': 32, 'y': 229, 'width': 6, 'height': 6}, 'mid_left': {'x': 20, 'y': 235, 'width': 6, 'height': 1}, 'mid_center': {'x': 26, 'y': 235, 'width': 1, 'height': 1}, 'mid_right': {'x': 32, 'y': 235, 'width': 6, 'height': 1}, 'btm_left': {'x': 20, 'y': 241, 'width': 6, 'height': 8}, 'btm_center': {'x': 26, 'y': 241, 'width': 1, 'height': 8}, 'btm_right': {'x': 32, 'y': 241, 'width': 6, 'height': 8}}",f8ebd6,6 6 8 6
border-10-fff2c6.png,WIN63-202609091217-117204808,2250_class_847.bin,2378_class_840.png,"{'top_left': {'x': 20, 'y': 229, 'width': 6, 'height': 6}, 'top_center': {'x': 26, 'y': 229, 'width': 1, 'height': 6}, 'top_right': {'x': 32, 'y': 229, 'width': 6, 'height': 6}, 'mid_left': {'x': 20, 'y': 235, 'width': 6, 'height': 1}, 'mid_center': {'x': 26, 'y': 235, 'width': 1, 'height': 1}, 'mid_right': {'x': 32, 'y': 235, 'width': 6, 'height': 1}, 'btm_left': {'x': 20, 'y': 241, 'width': 6, 'height': 8}, 'btm_center': {'x': 26, 'y': 241, 'width': 1, 'height': 8}, 'btm_right': {'x': 32, 'y': 241, 'width': 6, 'height': 8}}",fff2c6,6 6 8 6
border-10-f0cf86.png,WIN63-202609091217-117204808,2250_class_847.bin,2378_class_840.png,"{'top_left': {'x': 20, 'y': 229, 'width': 6, 'height': 6}, 'top_center': {'x': 26, 'y': 229, 'width': 1, 'height': 6}, 'top_right': {'x': 32, 'y': 229, 'width': 6, 'height': 6}, 'mid_left': {'x': 20, 'y': 235, 'width': 6, 'height': 1}, 'mid_center': {'x': 26, 'y': 235, 'width': 1, 'height': 1}, 'mid_right': {'x': 32, 'y': 235, 'width': 6, 'height': 1}, 'btm_left': {'x': 20, 'y': 241, 'width': 6, 'height': 8}, 'btm_center': {'x': 26, 'y': 241, 'width': 1, 'height': 8}, 'btm_right': {'x': 32, 'y': 241, 'width': 6, 'height': 8}}",f0cf86,6 6 8 6
border-10-e0cba6.png,WIN63-202609091217-117204808,2250_class_847.bin,2378_class_840.png,"{'top_left': {'x': 20, 'y': 229, 'width': 6, 'height': 6}, 'top_center': {'x': 26, 'y': 229, 'width': 1, 'height': 6}, 'top_right': {'x': 32, 'y': 229, 'width': 6, 'height': 6}, 'mid_left': {'x': 20, 'y': 235, 'width': 6, 'height': 1}, 'mid_center': {'x': 26, 'y': 235, 'width': 1, 'height': 1}, 'mid_right': {'x': 32, 'y': 235, 'width': 6, 'height': 1}, 'btm_left': {'x': 20, 'y': 241, 'width': 6, 'height': 8}, 'btm_center': {'x': 26, 'y': 241, 'width': 1, 'height': 8}, 'btm_right': {'x': 32, 'y': 241, 'width': 6, 'height': 8}}",e0cba6,6 6 8 6
border-10-f6ebd7.png,WIN63-202609091217-117204808,2250_class_847.bin,2378_class_840.png,"{'top_left': {'x': 20, 'y': 229, 'width': 6, 'height': 6}, 'top_center': {'x': 26, 'y': 229, 'width': 1, 'height': 6}, 'top_right': {'x': 32, 'y': 229, 'width': 6, 'height': 6}, 'mid_left': {'x': 20, 'y': 235, 'width': 6, 'height': 1}, 'mid_center': {'x': 26, 'y': 235, 'width': 1, 'height': 1}, 'mid_right': {'x': 32, 'y': 235, 'width': 6, 'height': 1}, 'btm_left': {'x': 20, 'y': 241, 'width': 6, 'height': 8}, 'btm_center': {'x': 26, 'y': 241, 'width': 1, 'height': 8}, 'btm_right': {'x': 32, 'y': 241, 'width': 6, 'height': 8}}",f6ebd7,6 6 8 6
border-10-efe1c4.png,WIN63-202609091217-117204808,2250_class_847.bin,2378_class_840.png,"{'top_left': {'x': 20, 'y': 229, 'width': 6, 'height': 6}, 'top_center': {'x': 26, 'y': 229, 'width': 1, 'height': 6}, 'top_right': {'x': 32, 'y': 229, 'width': 6, 'height': 6}, 'mid_left': {'x': 20, 'y': 235, 'width': 6, 'height': 1}, 'mid_center': {'x': 26, 'y': 235, 'width': 1, 'height': 1}, 'mid_right': {'x': 32, 'y': 235, 'width': 6, 'height': 1}, 'btm_left': {'x': 20, 'y': 241, 'width': 6, 'height': 8}, 'btm_center': {'x': 26, 'y': 241, 'width': 1, 'height': 8}, 'btm_right': {'x': 32, 'y': 241, 'width': 6, 'height': 8}}",efe1c4,6 6 8 6
